   50.6    -0.73  19.687  -0.4618
   50.7    -0.22  19.731  -0.4533
   51.0     0.25  19.775  -0.4246
   51.0    -0.48  19.820  -0.3818
   51.0    -0.34  19.864  -0.3721
   51.2    -0.14  19.905  -0.4015
   51.3    -0.13  19.949  -0.4520
   51.4     0.01  19.992  -0.4506
   51.5    -0.33  20.036  -0.4465
   51.5    -0.25  20.079  -0.4249
   51.6     0.14  20.122  -0.4375
   51.7    -0.26  20.161  -0.4365
   51.8    -0.08  20.203  -0.4338
   51.8    -0.16  20.246  -0.4442
   52.0    -0.39  20.287  -0.4417
   52.2    -0.21  20.329  -0.4254
   52.1    -0.27  20.370  -0.4117
   52.3    -0.40  20.411  -0.4110
   52.4    -0.13  20.452  -0.4179
   52.5    -0.38  20.492  -0.4455
   52.7    -0.20  20.534  -0.4641
   52.9    -0.01  20.576  -0.4633
   52.8    -0.34  20.617  -0.4717
   52.9    -0.07  20.657  -0.4723
   53.0    -0.10  20.697  -0.4741
   53.1    -0.07  20.739  -0.4714
   53.0    -0.70  20.779  -0.4676
   53.2    -0.51  20.820  -0.4587
   53.3    -0.26  20.861  -0.4644
   53.3    -0.15  20.902  -0.4834
   53.5     0.12  20.943  -0.4840
   53.6    -0.03  20.984  -0.4726
   53.6    -0.47  21.025  -0.4716
   53.7    -0.42  21.066  -0.4836
   53.8    -0.32  21.108  -0.5041
   53.9    -0.49  21.149  -0.5125
   54.0    -0.23  21.189  -0.5045
   54.1    -0.42  21.229  -0.5135
   54.2    -0.27  21.273  -0.5264
   54.3    -0.22  21.314  -0.5219
   54.3    -0.46  21.358  -0.5172
   54.5    -0.43  21.402  -0.5203
   54.6    -0.55  21.447  -0.5217
   54.7    -0.26  21.492  -0.5077
   54.6    -0.20  21.538  -0.5215
   54.7    -0.55  21.583  -0.5111
   54.8    -0.63  21.626  -0.5150
   55.1    -0.36  21.668  -0.5237
   55.1    -0.23  21.710  -0.5233
   55.0    -0.74  21.750  -0.5237
   55.3    -0.39  21.791  -0.5204
   55.6    -0.02  21.833  -0.5145
